To,Location
CLOCK_50,PIN_P11
KEY[0],PIN_B8
KEY[1],PIN_A7
SW[0],PIN_C10
SW[1],PIN_C11
SW[2],PIN_D12
SW[3],PIN_C12
SW[4],PIN_A12
SW[5],PIN_B12
SW[6],PIN_A13
SW[7],PIN_A14
SW[8],PIN_B14
SW[9],PIN_F15
LEDR[0],PIN_A8
LEDR[9],PIN_B11
HEX0[0],PIN_C14
HEX0[1],PIN_E15
HEX0[2],PIN_C15
HEX0[3],PIN_C16
HEX0[4],PIN_E16
HEX0[5],PIN_D17
HEX0[6],PIN_C17
HEX1[0],PIN_C18
HEX1[1],PIN_D18
HEX1[2],PIN_E18
HEX1[3],PIN_B16
HEX1[4],PIN_A17
HEX1[5],PIN_A18
HEX1[6],PIN_B17
HEX2[0],PIN_B20
HEX2[1],PIN_A20
HEX2[2],PIN_B19
HEX2[3],PIN_A21
HEX2[4],PIN_B21
HEX2[5],PIN_C22
HEX2[6],PIN_B22
HEX3[0],PIN_F21
HEX3[1],PIN_E22
HEX3[2],PIN_E21
HEX3[3],PIN_C19
HEX3[4],PIN_C20
HEX3[5],PIN_D19
HEX3[6],PIN_E17
